Strain;Species;SamplingSite
MH241144.1 Mus spretus voucher HI5 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241143.1 Mus spretus voucher HI4 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241142.1 Mus spretus voucher HI35 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241141.1 Mus spretus voucher HI34 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241140.1 Mus spretus voucher HI33 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241139.1 Mus spretus voucher HI32 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241138.1 Mus spretus voucher HI30 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241137.1 Mus spretus voucher HI3 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241136.1 Mus spretus voucher HI29 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241135.1 Mus spretus voucher HI28 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241134.1 Mus spretus voucher HI27 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241133.1 Mus spretus voucher HI26 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241132.1 Mus spretus voucher HI25 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241131.1 Mus spretus voucher HI24 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241130.1 Mus spretus voucher HI23 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241129.1 Mus spretus voucher HI22 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241128.1 Mus spretus voucher HI21 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241127.1 Mus spretus voucher HI2 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241126.1 Mus spretus voucher HI19 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241125.1 Mus spretus voucher HI18 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241124.1 Mus spretus voucher HI17 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241123.1 Mus spretus voucher HI16 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241122.1 Mus spretus voucher HI15 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241121.1 Mus spretus voucher HI14 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241120.1 Mus spretus voucher HI11 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241119.1 Mus spretus voucher HI10 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241118.1 Mus spretus voucher HI1 cytochrome b (Cytb) gene;Mus spretus;Spain: Madrid
MH241069.1 Mus spretus voucher 18409 cytochrome b (Cytb) gene;Mus spretus;Spain: Grenade
MH241068.1 Mus spretus voucher 18407 cytochrome b (Cytb) gene;Mus spretus;Spain: Taragone
